////////////////////////////////////////////////////////////
Configuration of the nerual network:
Num of layers: 3
Num of neurons in each layer: 
  size of input layer: 784
  size of hidden layer 1: 30
  size of softmax layer: 10
Parameter for of optimization:
 num of steps: 1000
 step size:2

////////////////////////////////////////////////////////////
Reading data and make Neural Netowrk objects for training and validation

////////////////////////////////////////////////////////////
Starint training ......
Step:    0, Cost: 3.945, training accuracy: 0.092, validation accuracy: 0.155
Step:    1, Cost: 2.917, training accuracy: 0.157, validation accuracy: 0.185
Step:    2, Cost: 2.358, training accuracy: 0.188, validation accuracy: 0.273
Step:    3, Cost: 2.035, training accuracy: 0.274, validation accuracy: 0.364
Step:    4, Cost: 1.871, training accuracy: 0.367, validation accuracy: 0.416
Step:    5, Cost: 1.749, training accuracy: 0.414, validation accuracy: 0.463
Step:    6, Cost: 1.633, training accuracy: 0.456, validation accuracy: 0.498
Step:    7, Cost: 1.542, training accuracy: 0.503, validation accuracy: 0.535
Step:    8, Cost: 1.462, training accuracy: 0.530, validation accuracy: 0.554
Step:    9, Cost: 1.402, training accuracy: 0.550, validation accuracy: 0.579
Step:   10, Cost: 1.329, training accuracy: 0.581, validation accuracy: 0.595
Step:   11, Cost: 1.295, training accuracy: 0.589, validation accuracy: 0.615
Step:   12, Cost: 1.222, training accuracy: 0.619, validation accuracy: 0.631
Step:   13, Cost: 1.185, training accuracy: 0.628, validation accuracy: 0.645
Step:   14, Cost: 1.147, training accuracy: 0.637, validation accuracy: 0.658
Step:   15, Cost: 1.108, training accuracy: 0.657, validation accuracy: 0.673
Step:   16, Cost: 1.072, training accuracy: 0.673, validation accuracy: 0.679
Step:   17, Cost: 1.046, training accuracy: 0.677, validation accuracy: 0.689
Step:   18, Cost: 1.018, training accuracy: 0.687, validation accuracy: 0.696
Step:   19, Cost: 0.989, training accuracy: 0.698, validation accuracy: 0.705
Step:   20, Cost: 0.968, training accuracy: 0.706, validation accuracy: 0.713
Step:   21, Cost: 0.954, training accuracy: 0.710, validation accuracy: 0.722
Step:   22, Cost: 0.916, training accuracy: 0.724, validation accuracy: 0.728
Step:   23, Cost: 0.907, training accuracy: 0.723, validation accuracy: 0.735
Step:   24, Cost: 0.879, training accuracy: 0.735, validation accuracy: 0.739
Step:   25, Cost: 0.870, training accuracy: 0.735, validation accuracy: 0.743
Step:   26, Cost: 0.868, training accuracy: 0.738, validation accuracy: 0.749
Step:   27, Cost: 0.847, training accuracy: 0.742, validation accuracy: 0.752
Step:   28, Cost: 0.838, training accuracy: 0.746, validation accuracy: 0.758
Step:   29, Cost: 0.826, training accuracy: 0.752, validation accuracy: 0.759
Step:   30, Cost: 0.799, training accuracy: 0.759, validation accuracy: 0.763
Step:   31, Cost: 0.789, training accuracy: 0.762, validation accuracy: 0.768
Step:   32, Cost: 0.770, training accuracy: 0.768, validation accuracy: 0.772
Step:   33, Cost: 0.767, training accuracy: 0.773, validation accuracy: 0.774
Step:   34, Cost: 0.762, training accuracy: 0.772, validation accuracy: 0.775
Step:   35, Cost: 0.756, training accuracy: 0.771, validation accuracy: 0.780
Step:   36, Cost: 0.736, training accuracy: 0.780, validation accuracy: 0.781
Step:   37, Cost: 0.738, training accuracy: 0.775, validation accuracy: 0.786
Step:   38, Cost: 0.734, training accuracy: 0.780, validation accuracy: 0.786
